listing_id,host_id,host_since,name,neighbourhood,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
22940473,169900506,2018-01-25,Huge Arty Room In The Heart Of BCN- PRIVATE BATH -,el Raval,Bed and breakfast,Private room,1.0,55,20,88.0
22941148,160300782,2017-11-27,Comodo habotacion,Sant Martí de Provençals,Apartment,Private room,1.0,25,1,80.0
22941263,169913045,2018-01-25,Barcelona Central safe doble room.,el Fort Pienc,Apartment,Private room,1.0,40,23,90.0
22947906,30833658,2015-04-08,Las garantías y calidad de LUDERNA en Barcelona,la Sagrada Família,Apartment,Entire home/apt,3.0,69,5,96.0
22948007,4459553,2012-12-21,1994 - AB Aragó 1-3 - Bright 3-Bedroom Apartment near Plaza Espanya,la Nova Esquerra de l'Eixample,Apartment,Entire home/apt,3.0,600,11,91.0
22949323,35866575,2015-06-15,villa maravilla,Sarrià,Apartment,Private room,1.0,100,0,
22949324,12897751,2014-03-07,Llar Sharing,el Camp d'en Grassot i Gràcia Nova,Apartment,Private room,1.0,50,9,100.0
22949939,1744516,2012-02-13,SUPERIOR APARTMENT CLOSE TO RAMBLA CATALUNYA,l'Antiga Esquerra de l'Eixample,Apartment,Entire home/apt,2.0,200,19,93.0
22950949,9784103,2013-11-03,Paseo de Gracia Apartment 4 1,la Dreta de l'Eixample,Apartment,Entire home/apt,1.0,90,9,83.0
22952251,4459553,2012-12-21,1841 - AB Eixample Ausiàs Marc - Contemporary 3-Bedroom Apartment with a Balcony near Parc de la Ciutadella,el Fort Pienc,Apartment,Entire home/apt,3.0,350,7,83.0
22952256,4459553,2012-12-21,1940 - AB Gràcia Charm Apartment 3-1 - Charming 3-Bedroom Apartment with a Balcony in Gràcia,la Vila de Gràcia,Apartment,Entire home/apt,3.0,400,13,80.0
22952261,4459553,2012-12-21,2111 - AB Modern Gràcia Apartment - Modern 2-Bedroom Apartment near Passeig de Gràcia,la Vila de Gràcia,Apartment,Entire home/apt,2.0,350,7,63.0
22952984,170034147,2018-01-26,Chatzy Bedroom,la Sagrada Família,Apartment,Private room,1.0,45,53,89.0
22953759,9997197,2013-11-13,Double room w/ Private Bathroom & Balcony,el Raval,Apartment,Private room,1.0,29,52,87.0
